s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
JIAGAO,2009,"JIANGSU GAOCHUN CERAMICS CO., LTD.","JIANGSU GAOCHUN CERAMICS CO., LTD.",NA,"GUCHENG TOWN, GAOCHUN COUNTRY, ,",NA,NA,3/25/08,"gucheng town, gaochun country, ,","jiangsu gaochun ceramics co., ltd.","jiangsu gaochun ceramics co., ltd.",jiangsu,nanjing,gaochun,NA,NA,gucheng,NA,NA,jiangsu gaochun ceramics,gaochun,江苏高淳陶瓷股份有限公司,南京高淳固城镇,3.2e+11,T,
JIAHOL,2009,"JIANGSU YUANJING HOLIDAY TRAVEL PRODUCTS CO.,LTD","JIANGSU YUANJING HOLIDAY TRAVEL PRODUCTS CO.,LTD",NA,"Huangtang Town,Danyang City, Jiangsu Province,China, P.C.212327,",NA,NA,9/14/09,"huangtang town,danyang city, jiangsu province,china, p.c.212327,","jiangsu yuanjing holiday travel products co.,ltd","jiangsu yuanjing holiday travel products co.,ltd",jiangsu,zhenjiang,danyang,212327,NA,huangtang,NA,NA,jiangsu yuanjing holiday travel,yuanjing,江苏元景假日旅游用品有限公司,白兔,3.21e+11,L,
JICCS1,2009,"JIANGYIN CENTURY DRAGON GARMENT CO., LTD (CHINA - S1)","JIANGYIN CENTURY DRAGON GARMENT CO., LTD (CHINA - S1)",江阴世纪龙制衣有限公司,"NO. 60 CHANGSHAN ROAD, CHENJIANG TOWN, JIANGYIN, ,",NA,NA,2001-10-02,"no. 60 changshan road, chenjiang town, jiangyin, ,","jiangyin century dragon garment co., ltd (china - s1)","jiangyin century dragon garment co., ltd (china - s1)",jiangsu,wuxi,jiangyin,60,NA,chenjiang,NA,changshan,jiangyin century dragon garment,centurydragon,江阴世纪龙制衣有限公司,江阴市澄江镇长山路60号,3.2e+11,T,
JIDOFA,2009,JIANGYIN DONGHONG FASHION LIMITED COMPANY,NA,NA,NA,NA,289,NA,NA,jiangyin donghong fashion limited company,NA,jiangsu,wuxi,jiangyin,NA,NA,NA,NA,NA,jiangyin donghong fashion,donghong,江阴东宏时装有限公司,江阴市徐霞客镇峭岐益民路6号,3.2e+11,L,
JIFOGA,2009,"JIANGDU FORTUNE GARMENT MANUFACTURING CO.,LTD","JIANGDU FORTUNE GARMENT MANUFACTURING CO.,LTD",NA,"88# SHUNTIAN ROAD, JIANGDU, JIANGSU, CHINA., ,",NA,NA,2003-10-09,"88# shuntian road, jiangdu, jiangsu, china., ,","jiangdu fortune garment manufacturing co.,ltd","jiangdu fortune garment manufacturing co.,ltd",jiangsu,yangzhou,jiangdu,88,NA,NA,NA,shuntian,jiangdu fortune garment,fortune,江苏舜天国际集团江都制衣有限公司,舜天路88号,3.21e+11,T,
JIJUGA,2009,"JIANGYIN JUNHE GARMENT CO., LTD",NA,NA,NA,NA,NA,NA,NA,"jiangyin junhe garment co., ltd",NA,jiangsu,wuxi,jiangyin,NA,NA,NA,NA,NA,jiangyin junhe garment,junhe,江阴市嘉澜服饰有限公司(江阴君和制衣有限公司),江阴市祝塘镇河湘村,3.2e+11,L,
JIKAAP,2009,JIANGYIN KANGLI CLOTHING COMPANY LTD,"JIANGYIN KANGLI GARMENTS CO., LTD.",NA,"NO. 11, YINGBIN ROAD, QIAOQI, XIAKE TOWN, , ,",NA,NA,2008-12-08,"no. 11, yingbin road, qiaoqi, xiake town, , ,",jiangyin kangli clothing company ltd,"jiangyin kangli garments co., ltd.",jiangsu,wuxi,jiangyin,11,NA,xiake,NA,yingbin,jiangyin kangli clothing,kangli,江阴市康丽服装有限公司,江阴市徐霞客镇峭岐迎宾大道11号,3.2e+11,T,
JINHUB,2009,"JIANGSU JINHUBAO GARMENTS CO., LTD","JIANGSU JINHUBAO GARMENTS CO., LTD",NA,"LIDIAN TOWN, HANJIANG DISTRICT, , ,",NA,NA,11/19/08,"lidian town, hanjiang district, , ,","jiangsu jinhubao garments co., ltd","jiangsu jinhubao garments co., ltd",jiangsu,yangzhou,hanjiang,NA,NA,lidian,NA,NA,jiangsu jinhubao garments,jinhubao,江苏金虎豹制衣有限公司,扬州市邗江区李典镇李典社区,3.21e+11,T,
JINMAO,2009,"ZHENJIANG JINMAO WEIYE ARTWARE CO., LTD.","ZHENJIANG JINMAO WEIYE ARTWARE CO., LTD.",NA,"YOUFANG INDUSTRIAL AREA, YANGZHONG CITY, JIANGSU PROVINCE, ,",NA,NA,10/22/09,"youfang industrial area, yangzhong city, jiangsu province, ,","zhenjiang jinmao weiye artware co., ltd.","zhenjiang jinmao weiye artware co., ltd.",jiangsu,zhenjiang,yangzhong,NA,youfang,NA,NA,NA,zhenjiang jinmao weiye artware,jinmaoweiye,镇江金茂伟业工艺品有限公司,油坊镇政前路,3.21e+11,T,Cautious
JISAKN,2009,JIANGYIN SANJIU KNITTING FTY,JIANGYIN SANJIU KNITTING FTY,NA,"NO 268 HUANZHEN RD BEIGUO TOWN JIANGYIN, , ,",NA,NA,2/19/09,"no 268 huanzhen rd beiguo town jiangyin, , ,",jiangyin sanjiu knitting fty,jiangyin sanjiu knitting fty,jiangsu,wuxi,jiangyin,268,NA,huanzhen rd beiguo,NA,huanzhen,jiangyin sanjiu knitting,sanjiu,江阴三久针织时装有限公司,江阴市顾山镇北国环镇路,3.2e+11,T,
JIXICR,2009,"JIANGSU XINCHENG CRAFTS CO., LTD.","JIANGSU XINCHENG CRAFTS CO., LTD.",NA,"NO.69 ,NORTH BEIGUAN RD, DONGTAI CITY,JIANGSU, CHINA,",NA,NA,11/23/05,"no.69 ,north beiguan rd, dongtai city,jiangsu, china,","jiangsu xincheng crafts co., ltd.","jiangsu xincheng crafts co., ltd.",jiangsu,yancheng,dongtai,69,NA,NA,NA,beiguan,jiangsu xincheng crafts,xincheng,江苏信诚工艺品有限公司,北关路69号,3.21e+11,T,
JIZHKN,2009,"JIANGDU ZHONGCHUN KNITTING CO., LTD","JIANGDU ZHONGCHUN KNITTING CO., LTD",NA,"NO.21 FENGHUANG ROAD,ZONGCUN TOWN, JIANGDU, JIANGSU, CHINA",NA,NA,7/29/09,"no.21 fenghuang road,zongcun town, jiangdu, jiangsu, china","jiangdu zhongchun knitting co., ltd","jiangdu zhongchun knitting co., ltd",jiangsu,yangzhou,jiangdu,21,NA,zongcun,NA,fenghuang,jiangdu zhongchun knitting,zhongchun,江都市中春针织公司,江都市小纪镇马凌村,3.21e+11,T,
JYSHHA,2009,"JIANGYIN SHANGHANG GARMENT CO., LTD","JIANGYIN SHANGHANG GARMENT CO., LTD",NA,"NANGUO, CHANGJING TOWN, JIANGYIN CITY, ,",NA,NA,2007-10-08,"nanguo, changjing town, jiangyin city, ,","jiangyin shanghang garment co., ltd","jiangyin shanghang garment co., ltd",jiangsu,wuxi,jiangyin,NA,NA,changjing,NA,NA,jiangyin shanghang garment,shanghang,江阴市上航制衣有限公司,江阴市长泾镇南国村赵家宕45-1号,3.2e+11,T,
KUNHUA,2009,"KUNSHAN HUAQING FURNITURE CO., LTD","KUNSHAN HUAQING FURNITURE CO., LTD",NA,"PENGQING ROAD, HUAQIAO TOWN, ,",NA,NA,2006-05-06,"pengqing road, huaqiao town, ,","kunshan huaqing furniture co., ltd","kunshan huaqing furniture co., ltd",jiangsu,suzhou,kunshan,NA,NA,huaqiao,NA,pengqing,kunshan huaqing furniture,huaqing,昆山桦青家具有限公司,花桥镇蓬青路105号,3.21e+11,T,
KUTEIN,2009,"KUNSHAN E-TECH INDUSTRIAL CO., LTD.","KUNSHAN E-TECH INDUSTRIAL CO., LTD.",NA,"NO..211 HUA-YUAN ROAD, CHANG PU TOWN, KUNSHAN CITY, ,",NA,NA,11/14/08,"no..211 hua-yuan road, chang pu town, kunshan city, ,","kunshan e-tech industrial co., ltd.","kunshan e-tech industrial co., ltd.",jiangsu,suzhou,kunshan,211,NA,chang pu,NA,yuan,kunshan etech,etech,昆山依德五金工业有限公司,张浦镇花园路211号,3.21E+11,T,MM
MAKING,2009,"YANGZHOU HUABANG ARTS MAKING CO., LTD",NA,NA,NA,NA,NA,NA,NA,"yangzhou huabang arts making co., ltd",NA,jiangsu,yangzhou,NA,NA,NA,NA,NA,NA,yangzhou huabang arts making,huabang,扬州华邦工艺品制造有限公司,方巷镇衣家村,3.21e+11,L,
NAHATI,2009,NANJING HAO TIAN GARMENT CO LTD,NA,NA,NA,NA,NA,NA,NA,nanjing hao tian garment co ltd,NA,jiangsu,nanjing,NA,NA,NA,NA,NA,NA,nanjing hao tian garment,haotian,南京昊天制衣有限公司,黄木桥村,"3.2e+11,3.2e+11",L,MM: found the correct one but uncertain due to limited info
NAJIAR,2009,"NANTONG JINXIN ARTS &CRAFTS CO., LTD","NANTONG JINXIN ARTS &CRAFTS CO., LTD",NA,"BAIPU TOWN RUGAO, , ,",NA,NA,2004-10-09,"baipu town rugao, , ,","nantong jinxin arts &crafts co., ltd","nantong jinxin arts &crafts co., ltd",jiangsu,nantong,rugao,NA,NA,baipu,NA,NA,nantong jinxin arts crafts,jinxin,南通锦鑫工艺品有限公司,白蒲镇蒲西村23组,3.21e+11,T,
NAJIPL,2009,"NANTONG JIAHE PLASTICS & HARDWARE PRODUCTS LTD.,CO","NANTONG JIAHE PLASTICS & HARDWARE PRODUCTS CO., LTD",NA,"SANHE TOWN,HAIMEN CITY, , ,",NA,NA,9/13/07,"sanhe town,haimen city, , ,","nantong jiahe plastics & hardware products ltd.,co","nantong jiahe plastics & hardware products co., ltd",jiangsu,nantong,haimen,NA,NA,sanhe,NA,NA,nantong jiahe plastics  hardware,jiahe,南通嘉和塑料五金制品有限公司,海门市三和镇三和村大港路西,3.21e+11,T,
NAKAGA,2009,"NANJING KAIYAO GARMENT AND EMBROIDERY CO.,LTD","NANJING KAIYAO GARMENT AND EMBROIDERY CO.,LTD",NA,"No. 10. Hengsheng Rd., Gaochun Economic Development Zone, Nanjing, Jiangsu, China,",NA,NA,1/22/09,"no. 10. hengsheng rd., gaochun economic development zone, nanjing, jiangsu, china,","nanjing kaiyao garment and embroidery co.,ltd","nanjing kaiyao garment and embroidery co.,ltd",jiangsu,nanjing,gaochun,10,NA,NA,NA,hengsheng,nanjing kaiyao garment and embroidery,kaiyao,南京凯耀服装绣品有限公司,高淳经济开发区花山路,3.2e+11,T,
NALOFA,2009,"NANTONG LONGWEI FASHION CO., LTD.","NANTONG LONGWEI FASHION CO., LTD.",NA,"CHAIWAN INDUSTRIAL ZONE OF RUGAO, CITY, JIANGSU, CHINA, ,",NA,NA,5/29/09,"chaiwan industrial zone of rugao, city, jiangsu, china, ,","nantong longwei fashion co., ltd.","nantong longwei fashion co., ltd.",jiangsu,nantong,rugao,NA,chaiwan,NA,NA,NA,nantong longwei fashion,longwei,南通龙威时装有限公司,柴湾镇镇南居18组,3.21e+11,T,Cautious
NANBEN,2009,"NANTONG BENSHIDAI HAT CO., LTD","NANTONG BENSHIDAI HAT CO., LTD",NA,"INDUSTRIAL ZONE, SANYANG, HAIMEN, ,",NA,NA,5/27/09,"industrial zone, sanyang, haimen, ,","nantong benshidai hat co., ltd","nantong benshidai hat co., ltd",jiangsu,nantong,haimen,NA,NA,NA,NA,NA,nantong benshidai hat,benshidai,南通奔时代帽业有限公司,海门市三阳镇同善村,3.21e+11,T,
NANHAT,2009,"NANTONG LONGGUAN HATS CO.,LTD",NA,NA,NA,Hats,39,NA,NA,"nantong longguan hats co.,ltd",NA,jiangsu,nantong,NA,NA,NA,NA,NA,NA,nantong longguan hats,longguan,南通龙冠帽业有限公司,花墙村工业经济园区,3.21e+11,L,
NANHOU,2009,"NAN TONG YI YUAN HOUSEHOLD TEXTILES CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"nan tong yi yuan household textiles co.,ltd",NA,jiangsu,nantong,NA,NA,NA,NA,NA,NA,nan tong yi yuan household textiles,yiyuan,南通开发区一元纺织品有限公司,近山,3.21e+11,L,
NANINT,2009,"NANJING SILK GARMENT INTERNATIONAL CO.,LTD","NANJING SILK GARMENT INTERNATIONAL CO.,LTD",南京国贸丝绸服装有限公司,"NO. 130, SOUTH REHE ROAD XIAGUAN DISTRICT, , ,",NA,NA,12/30/06,"no. 130, south rehe road xiaguan district, , ,","nanjing silk garment international co.,ltd","nanjing silk garment international co.,ltd",jiangsu,nanjing,NA,130,NA,NA,NA,rehe,nanjing silk garment,NA,南京国贸丝绸服饰有限公司,热河南路130号,3.2e+11,T,
NANKAI,2009,"NANTONG KAILI TEXTILE CO., LTD.","NANTONG KAILI TEXTILE CO., LTD.",NA,"SANXING TONW,HAIMEN, , ,",NA,NA,2005-09-08,"sanxing tonw,haimen, , ,","nantong kaili textile co., ltd.","nantong kaili textile co., ltd.",jiangsu,nantong,haimen,NA,NA,NA,NA,NA,nantong kaili textile,kaili,南通凯利纺织品有限公司,海门市三和镇双高村,"3.21e+11,3.21e+11",L,MM: found the correct one but uncertain
NARUFA,2009,"NANTONG RUNCHUANG FASHION CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"nantong runchuang fashion co., ltd.",NA,jiangsu,nantong,NA,NA,NA,NA,NA,NA,nantong runchuang fashion,runchuang,南通润创时装有限公司,九华镇杨码村29组,3.21e+11,L,
NASHCO,2009,"NANTONG SHENGTAI GARMENT CO., LTD","NANTONG SHENGTAI GARMENT CO., LTD",南通盛泰制衣有限公司,"XINZHA VILLAGE, ZHAXI, ZHAGANG DISTRICT, , ,",NA,NA,4/13/06,"xinzha village, zhaxi, zhagang district, , ,","nantong shengtai garment co., ltd","nantong shengtai garment co., ltd",jiangsu,nantong,NA,NA,NA,NA,xinzha,NA,nantong shengtai garment,shengtai,南通盛泰制衣有限公司,南通市港闸区天生路188号,3.21e+11,T,Typo in English
PLASUZ,2009,"PLANET (SUZHOU) MEDICAL PRODUCTS CO., LTD,","PLANET (SUZHOU) MEDICAL PRODUCTS CO., LTD,",NA,"NO.33, QINGLIAN ROAD, XU GUAN INDUSTRIAL BOROUGH,  XUGUAN TOWN, SUZHOU CITY, JIANGSU PROVINCE,",NA,NA,5/16/07,"no.33, qinglian road, xu guan industrial borough,  xuguan town, suzhou city, jiangsu province,","planet (suzhou) medical products co., ltd,","planet (suzhou) medical products co., ltd,",jiangsu,suzhou,NA,33,xuguan,xuguan,NA,qinglian,planet  medical,planet,苏州恒星医用材料有限公司,浒关工业园青莲路33号,3.21e+11,T,
RUGPET,2009,"RUGAO LINYING PET SUPPLIES CO.,LTD.","RUGAO LINYING PET SUPPLIES CO.,LTD.",NA,"CHAIWAN TOWN., RUGAO CITY JIANGSU PROVINCE, ,",NA,NA,5/21/09,"chaiwan town., rugao city jiangsu province, ,","rugao linying pet supplies co.,ltd.","rugao linying pet supplies co.,ltd.",jiangsu,nantong,rugao,NA,NA,chaiwan,NA,NA,rugao linying pet supplies,linying,如皋市林英宠物有限公司,柴湾镇镇南居18组,3.21e+11,T,
SHARFT,2009,SHENGDA ARTS AND CRAFTS FACTORY,SHENGDA ARTS AND CRAFTS FACTORY,NA,"SHENGLI VILLIAGE, HECHEN TOWN, XINGHUA CITY, JIANGSU, ,",NA,NA,2004-02-09,"shengli villiage, hechen town, xinghua city, jiangsu, ,",shengda arts and crafts factory,shengda arts and crafts factory,jiangsu,taizhou,xinghua,NA,NA,hechen,NA,NA,shengda arts and crafts,shengda,兴化市盛达工艺品厂,兴化市合陈镇胜利村,"3.21e+11,3.21e+11",T,Multiple Matches: Found the correct one and fixed it
SHHEHA,2009,SHENTA HENGFENG HARDWARE&PLASTIC PRODUCTS FACTORY,SHENTA HENGFENG HARDWARE&PLASTIC PRODUCTS FACTORY,NA,"No. 358, Fushi rd. fenhu, Wujiang, jiangsu, China, ,",NA,NA,3/13/08,"no. 358, fushi rd. fenhu, wujiang, jiangsu, china, ,",shenta hengfeng hardware&plastic products factory,shenta hengfeng hardware&plastic products factory,jiangsu,suzhou,wujiang,358,NA,NA,NA,fushi,shenta hengfeng hardwareplastic,shentahengfeng,吴江市莘塔镇恒丰五金塑料制品厂,莘塔府时路358号,3.21e+11,T,
SUZCIT,2009,"SUZHOU CITY GRACE GARMENT CO., LTD.","SUZHOU CITY GRACE GARMENT CO., LTD.",NA,"NO88 CHANGHE ROAD,DONGQIAO TOWN, XIANGCHENG DISTRICT, SUZHOU,JIANGSU,",NA,NA,10/30/08,"no88 changhe road,dongqiao town, xiangcheng district, suzhou,jiangsu,","suzhou city grace garment co., ltd.","suzhou city grace garment co., ltd.",jiangsu,suzhou,xiangcheng,88,NA,dongqiao,NA,changhe,suzhou  grace garment,grace,苏州市格朗斯服饰有限公司,东桥长和路88号,"3.21e+11,3.21e+11,3.21e+11",T,MM: found the one and fixed it
SUZEMU,2009,"SUZHOU XINGCHENG EMULSION PRODUCTS CO., LTD.","SUZHOU XINGCHENG EMULSION PRODUCTS CO., LTD.",NA,"NO.236, HUAJIN ROAD, TONG’AN TOWN, SUZHOU NEW DISTRICT, JIANGSU PROVINCE, CHINA,",NA,NA,2/26/04,"no.236, huajin road, tong’an town, suzhou new district, jiangsu province, china,","suzhou xingcheng emulsion products co., ltd.","suzhou xingcheng emulsion products co., ltd.",jiangsu,suzhou,NA,236,NA,an,NA,huajin,suzhou xingcheng emulsion,xingcheng,苏州兴成乳胶制品有限公司,苏州高新区通安镇华金路236号,3.21e+11,T,
SUZMON,2009,"SUZHOU MONTEMAR CO.,LTD","SUZHOU MONTEMAR GARMENT CO., LTD.",NA,"NO.13 XINGNAN ROAD, SUZHOU, JIANGSU,",NA,NA,2001-07-09,"no.13 xingnan road, suzhou, jiangsu,","suzhou montemar co.,ltd","suzhou montemar garment co., ltd.",jiangsu,suzhou,NA,13,NA,NA,NA,xingnan,suzhou montemar,montemar,苏州蒙特曼服饰有限公司,吴中区兴南路13号,"3.21e+11,3.21e+11",T,Multiple Matches: Found the correct one and fixed it
SUZSAI,2009,SUZHOU SAISON GARMENT CO. LTD.,SUZHOU SAISON GARMENT CO. LTD.,NA,"NO.51 NAN HU ROAD,WUZHONG DISTRICT, SUZHOU,JIANGSU, ,",NA,NA,2/13/03,"no.51 nan hu road,wuzhong district, suzhou,jiangsu, ,",suzhou saison garment co. ltd.,suzhou saison garment co. ltd.,jiangsu,suzhou,wuzhong,51,NA,NA,NA,nanhu,suzhou saison garment,saison,苏州天香服饰有限公司,南湖路51号,3.21e+11,T,
TAWESA,2009,"TAIXING WEINA  SANXIN FASHION.,LTD","TAIXING WEINA  SANXIN FASHION.,LTD",NA,"INDUSTRIAL ZONE, TAIXING JIANGSU,CHINA, ,",NA,NA,10/16/09,"industrial zone, taixing jiangsu,china, ,","taixing weina  sanxin fashion.,ltd","taixing weina  sanxin fashion.,ltd",jiangsu,taizhou,taixing,NA,NA,NA,NA,NA,taixing weina  sanxin fashion,weinasanxin,泰兴维娜三信时装有限公司,泰兴市城区工业园碾坊路北,3.21e+11,T,
UNIWUX,2009,UNISON (WUXI) TEXTILE & GARMENT INC.,UNISON (WUXI) TEXTILE & GARMENT INC.,NA,"NO. 25, CHUNXIANG ROAD, ECONOMIC & DEVELOPMENT, ZONE OF XISHAN DISTRICT, WUXI CITY, ,",NA,NA,2004-12-06,"no. 25, chunxiang road, economic & development, zone of xishan district, wuxi city, ,",unison (wuxi) textile & garment inc.,unison (wuxi) textile & garment inc.,jiangsu,wuxi,xishan,25,NA,NA,NA,chunxiang,unison  textile  garment,unison,无锡优妮姿纺织服装有限公司,锡山经济开发区春象路25号,3.2e+11,T,
VOGNAN,2009,"VOGUE (NANJING)  LEATHER PRODUCTS CO.,LTD","VOGUE (NANJING)  LEATHER PRODUCTS CO.,LTD",NA,"#18 HUASHANG RD., LUKOU TOWN, JIANGNING DISTRICT, NANJING, CHINA, ,",NA,NA,9/23/09,"#18 huashang rd., lukou town, jiangning district, nanjing, china, ,","vogue (nanjing)  leather products co.,ltd","vogue (nanjing)  leather products co.,ltd",jiangsu,nanjing,jiangning,18,NA,lukou,NA,huashang,vogue   leather,vogue,伯格（南京）皮件制品有限公司,华商路18号,3.2e+11,T,
WUJLIN,2009,"WUJIANG LINGYAN GARMENT CO., LTD.","WUJIANG LINGYUE GARMENT CO.,LTD",NA,"EAST OF BUS STATION, ZHENGZE TOWN, WUJIANG CITY JIANGSU,",NA,NA,10/31/07,"east of bus station, zhengze town, wujiang city jiangsu,","wujiang lingyan garment co., ltd.","wujiang lingyue garment co.,ltd",jiangsu,suzhou,wujiang,NA,NA,zhengze,NA,NA,wujiang lingyan garment,lingyan,吴江凌燕制衣有限公司,震泽,3.21e+11,T,
WUXCHU,2009,"WUXI CHUANG MEI FASHION KNITTING CO.,LTD.","WUXI CHUANG MEI FASHION KNITTING CO.,LTD.",NA,"YANGJIAN INDUSTRIAL AREA, XISHAN DISTRICT, ,",NA,NA,2/13/06,"yangjian industrial area, xishan district, ,","wuxi chuang mei fashion knitting co.,ltd.","wuxi chuang mei fashion knitting co.,ltd.",jiangsu,wuxi,xishan,NA,yangjian,NA,NA,NA,wuxi chuang mei fashion knitting,chuangmei,"江阴市创美针织有限公司,无锡创美服饰针织有限公司","江阴市祝塘镇万福路,羊尖工业园","3.2e+11,3.2e+11",T,
WUXGRO,2009,"WUXI GUANGMING (GROUP) CO., LTD.","WUXI GUANGMING (GROUP) CO., LTD.",NA,"148 EAST YUNHE ROAD, WUXI, ,",NA,NA,3/17/09,"148 east yunhe road, wuxi, ,","wuxi guangming (group) co., ltd.","wuxi guangming (group) co., ltd.",jiangsu,wuxi,NA,148,NA,NA,NA,yunhe,wuxi guangming,guangming,无锡光明(集团)有限公司,运河东路148号,3.2e+11,T,
WUXHEN,2009,"WUXI HENGLI KNITTING CO., LTD","WUXI HENGLI KNITTING CO., LTD",NA,"INDUSTRIAL PARK OF YANGJIAN TOWN, XISHAN DISTRICT, , ,",Knitting hat / hose / scarf,296,5/19/05,"industrial park of yangjian town, xishan district, , ,","wuxi hengli knitting co., ltd","wuxi hengli knitting co., ltd",jiangsu,wuxi,xishan,NA,NA,industrial park of yangjian,NA,NA,wuxi hengli knitting,hengli,无锡市亨利针织有限公司,羊尖工业园区,3.2e+11,T,
WUXRUI,2009,WUXI RUIHONG KNITTING FACTORY,WUXI RUIHONG KNITTING FACTORY,NA,"LIAN VILLAGE,YANGJIAN TOWN, XISHAN DISTRICT, ,",NA,NA,5/29/07,"lian village,yangjian town, xishan district, ,",wuxi ruihong knitting factory,wuxi ruihong knitting factory,jiangsu,wuxi,xishan,NA,NA,yangjian,lian,NA,wuxi ruihong knitting,ruihong,无锡市瑞鸿针织服饰有限公司,锡沪路北村委东,3.2e+11,T,
WUXYAD,2009,"WUXI YADA KNITTING CO.,LTD","WUXI YADA KNITTING CO.,LTD",NA,"INDUSTRIAL ZONE,YANG JIAN,XI SHAN DISTRICT, , ,",NA,NA,7/20/05,"industrial zone,yang jian,xi shan district, , ,","wuxi yada knitting co.,ltd","wuxi yada knitting co.,ltd",jiangsu,wuxi,xishan,NA,NA,NA,NA,NA,wuxi yada knitting,yada,无锡市亚达针织有限公司,工业园区,3.2e+11,T,
WUXYON,2009,"WUXI YONG YI LIGHT INDUSTRIAL PRODUCTS CO.,LTD","WUXI YONG YI LIGHT INDUSTRIAL PRODUCTS CO.,LTD",NA,"1# CHUN HUI WEST ROAD DONGTING, , ,",NA,NA,6/13/08,"1# chun hui west road dongting, , ,","wuxi yong yi light industrial products co.,ltd","wuxi yong yi light industrial products co.,ltd",jiangsu,wuxi,NA,1,NA,NA,NA,chunhui,wuxi yong yi light,yongyi,无锡永易轻工业品有限公司,春晖西路1号,3.20E+11,T,MM: Found the corect one and fixed
YABASH,2009,"YANGZHOU BAILILAI SHOES CO.,LTD","YANGZHOU BAILILAI SHOES CO.,LTD",NA,"NO.32 PANGU INDUSTRY, LIJI TOWN,YIZHENG, ,",NA,NA,2007-01-08,"no.32 pangu industry, liji town,yizheng, ,","yangzhou baililai shoes co.,ltd","yangzhou baililai shoes co.,ltd",jiangsu,yangzhou,yizheng,32,NA,liji,NA,NA,yangzhou baililai shoes,baililai,扬州百利来鞋业有限公司,仪征市刘集镇盘古工业集中区32号,3.21e+11,T,
YAFEGA,2009,"YANGZHOU FENGYANG GARMENT CO., LTD.","YANGZHOU FENGYANG GARMENT CO., LTD.",NA,"NO. 1 OF INDUSTRIAL ZONE, XINJI TOWN YIZHENG CITY, ,",NA,NA,4/23/09,"no. 1 of industrial zone, xinji town yizheng city, ,","yangzhou fengyang garment co., ltd.","yangzhou fengyang garment co., ltd.",jiangsu,yangzhou,yizheng,1,of,xinji,NA,NA,yangzhou fengyang garment,fengyang,扬州市丰阳服装有限公司,仪征市新集镇工业集中区1号,3.21e+11,T,
YAHUCR,2009,YANGZHOU HUACHENG ARTS&CRAFTS FACTORY,NA,NA,NA,Indoor Slippers,145,NA,NA,yangzhou huacheng arts&crafts factory,NA,jiangsu,yangzhou,NA,NA,NA,NA,NA,NA,yangzhou huacheng artscrafts,huacheng,扬州市维扬区华成工艺品厂,堡城,3.21e+11,T,
YAMECO,2009,"YANGZHOU MEICHUAN GARMENTS CO,.LTD","YANGZHOU MEICHUAN GARMENTS CO,.LTD",NA,"FANCHUAN INDUSTRIAL ZONE, JIANGDU CITY, ,",NA,NA,4/25/09,"fanchuan industrial zone, jiangdu city, ,","yangzhou meichuan garments co,.ltd","yangzhou meichuan garments co,.ltd",jiangsu,yangzhou,jiangdu,NA,fanchuan,NA,NA,NA,yangzhou meichuan garments,meichuan,扬州美川服饰厂,江苏省江都市樊川工业集中区,3.21e+11,T,
YANKAN,2009,"YANGZHOU KANG LE MACHINERY CO., LTD.","YANGZHOU KANG LE MACHINERY CO., LTD.",NA,"NO. 13, ZHEN XING ROAD, CHE LUO TOWN, GAO YOU CITY, JIANGSU PROVINCE, CHINA",NA,NA,2009-01-04,"no. 13, zhen xing road, che luo town, gao you city, jiangsu province, china","yangzhou kang le machinery co., ltd.","yangzhou kang le machinery co., ltd.",jiangsu,yangzhou,gaoyou,13,NA,che luo,NA,zhenxing,yangzhou kang le machinery,kangle,扬州市康乐机械有限公司,高邮市车逻镇振兴路13号,3.21e+11,T,
